C EXEMPLO 2: Trelica 3D tipo piramide
C 4 nos na base + 1 vertice = 5 nos
C 4 barras laterais + 2 diagonais = 6 barras
C Geometria: base quadrada de lado 2.0, altura 1.5
C CC: Base fixa, carga no vertice
C
5   6   1   12   1
2
1   0.0D0   0.0D0   0.0D0
2   2.0D0   0.0D0   0.0D0
3   2.0D0   2.0D0   0.0D0
4   0.0D0   2.0D0   0.0D0
5   1.0D0   1.0D0   1.5D0
1   2.1D11   0.001D0
1   1   5   1
2   2   5   1
3   3   5   1
4   4   5   1
5   1   3   1
6   2   4   1
1   1   0.0D0
1   2   0.0D0
1   3   0.0D0
2   1   0.0D0
2   2   0.0D0
2   3   0.0D0
3   1   0.0D0
3   2   0.0D0
3   3   0.0D0
4   1   0.0D0
4   2   0.0D0
4   3   0.0D0
5   3   -5000.0D0
